record_no,date,datetime,forecast_no,point,warn_level,action,raw_action,wlobscd,kind,url,sphereLarge,codeWatershed,korStream,in_designFlood,coverageStream
27,2024-07-18,2024-07-18 19:40,홍수예보 제 2024-27호,서울시(너부대교),주의보,해제,홍수주의보 해제,,,,한강,101815,안양천,Y,광명시(시흥대교);서울시(너부대교);서울시(신대방1교);서울시(신림5교);서울시(오금교);안양시(충훈1교)
27,2024-07-18,2024-07-18 19:40,홍수예보 제 2024-27호,동두천시(송천교),경보,해제,홍수경보 해제,,,,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
27,2024-07-18,2024-07-18 19:40,홍수예보 제 2024-27호,파주시(비룡대교),주의보,해제,홍수주의보 해제,,,,한강,102301,적성수위표,Y,연천군(삼화교);파주시(비룡대교)
26,2024-07-18,2024-07-18 18:40,홍수예보 제 2024-26호,고양시(원당교),주의보,해제,홍수주의보 해제,,,,한강,101905,공릉천,Y,고양시(원당교);김포시(사우교);양주시(제궁교)
26,2024-07-18,2024-07-18 18:40,홍수예보 제 2024-26호,포천시(포천대교),주의보,해제,홍수주의보 해제,,,,한강,102208,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
25,2024-07-18,2024-07-18 17:30,홍수예보 제 2024-25호,서울시(신대방1교),주의보,해제,홍수주의보 해제,,,,한강,101816,안양천,Y,광명시(시흥대교);서울시(너부대교);서울시(신대방1교);서울시(신림5교);서울시(오금교);안양시(충훈1교)
25,2024-07-18,2024-07-18 17:30,홍수예보 제 2024-25호,포천시(은현교),주의보,해제,홍수주의보 해제,,,,한강,102209,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
25,2024-07-18,2024-07-18 17:30,홍수예보 제 2024-25호,연천군(차탄교),주의보,해제,홍수주의보 해제,,,,한강,102214,차탄천,Y,연천군(보막교);연천군(차탄교)
25,2024-07-18,2024-07-18 17:30,홍수예보 제 2024-25호,연천군(신천교),주의보,해제,홍수주의보 해제,,,,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
25,2024-07-18,2024-07-18 17:30,홍수예보 제 2024-25호,파주시(만장교),경보,해제,홍수경보 해제,,,,한강,102305,문산천,Y,파주시(만장교);파주시(신우교);파주시(아가메교);파주시(전진교);파주시(주월교);파주시(통일대교)
