obscd_wl,korObs_wl,region_wl,lat_wl,lon_wl,rank,stn_id_aws,stn_ko_aws,lat_aws,lon_aws,addr_aws,distance_km,weight_exp,reliability
1002640,평창군(상방림교),한강,37.431389,128.417222,3,660,면온,37.56197,128.37762,강원특별자치도 평창군 봉평면 면온리,14.93,0.2247,C_보통
1002650,평창군(평창교),한강,37.367778,128.406111,1,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,1.48,0.8624,A_매우신뢰
1002650,평창군(평창교),한강,37.367778,128.406111,2,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,20.0,0.1353,D_주의
1002650,평창군(평창교),한강,37.367778,128.406111,3,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,21.23,0.1197,E_부적합
1002655,영월군(판운교),한강,37.296667,128.343889,1,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,10.05,0.366,C_보통
1002655,영월군(판운교),한강,37.296667,128.343889,2,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,16.3,0.1959,D_주의
1002655,영월군(판운교),한강,37.296667,128.343889,3,221,제천,37.15928,128.19433,충청북도 제천시 신월동,20.22,0.1324,E_부적합
1002670,횡성군(둔방내리),한강,37.514722,128.215556,1,583,안흥,37.46463,128.1551,강원특별자치도 횡성군 안흥면 소사리,7.71,0.4626,B_신뢰
1002670,횡성군(둔방내리),한강,37.514722,128.215556,2,561,청일,37.58219,128.15275,강원특별자치도 횡성군 청일면 유동리,9.32,0.3938,B_신뢰
1002670,횡성군(둔방내리),한강,37.514722,128.215556,3,660,면온,37.56197,128.37762,강원특별자치도 평창군 봉평면 면온리,15.22,0.2183,D_주의
1002675,횡성군(안흥교),한강,37.412222,128.155,1,583,안흥,37.46463,128.1551,강원특별자치도 횡성군 안흥면 소사리,5.83,0.5582,B_신뢰
1002675,횡성군(안흥교),한강,37.412222,128.155,2,591,치악산,37.41554,128.05047,강원특별자치도 원주시 소초면 학곡리,9.24,0.3969,B_신뢰
1002675,횡성군(안흥교),한강,37.412222,128.155,3,536,횡성,37.4876,127.97242,강원특별자치도 횡성군 횡성읍 읍하리,18.17,0.1625,D_주의
1002680,영월군(두학교),한강,37.296389,128.1925,1,582,신림,37.23146,128.07993,강원특별자치도 원주시 신림면 신림리,12.3,0.2923,C_보통
1002680,영월군(두학교),한강,37.296389,128.1925,2,221,제천,37.15928,128.19433,충청북도 제천시 신월동,15.25,0.2176,D_주의
1002680,영월군(두학교),한강,37.296389,128.1925,3,591,치악산,37.41554,128.05047,강원특별자치도 원주시 소초면 학곡리,18.25,0.1612,D_주의
1002685,영월군(주천교),한강,37.2675,128.265833,1,221,제천,37.15928,128.19433,충청북도 제천시 신월동,13.6,0.2567,C_보통
1002685,영월군(주천교),한강,37.2675,128.265833,2,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,16.71,0.1881,D_주의
1002685,영월군(주천교),한강,37.2675,128.265833,3,582,신림,37.23146,128.07993,강원특별자치도 원주시 신림면 신림리,16.94,0.1838,D_주의
1002687,영월군(신천교),한강,37.229722,128.331667,1,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,12.37,0.2903,C_보통
1002687,영월군(신천교),한강,37.229722,128.331667,2,221,제천,37.15928,128.19433,충청북도 제천시 신월동,14.47,0.2353,C_보통
1002687,영월군(신천교),한강,37.229722,128.331667,3,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,17.35,0.1764,D_주의
1002690,후포,한강,37.216667,128.316667,1,221,제천,37.15928,128.19433,충청북도 제천시 신월동,12.58,0.2842,C_보통
1002690,후포,한강,37.216667,128.316667,2,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,13.07,0.2706,C_보통
1002690,후포,한강,37.216667,128.316667,3,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,19.17,0.147,D_주의
1002691,영월군(화병교),한강,37.215278,128.374722,1,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,8.24,0.4387,B_신뢰
1002691,영월군(화병교),한강,37.215278,128.374722,2,221,제천,37.15928,128.19433,충청북도 제천시 신월동,17.15,0.18,D_주의
1002691,영월군(화병교),한강,37.215278,128.374722,3,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,18.12,0.1633,D_주의
1002693,영월군(농공단지교),한강,37.224444,128.4225,1,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,5.71,0.565,B_신뢰
1002693,영월군(농공단지교),한강,37.224444,128.4225,2,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,17.19,0.1792,D_주의
1002693,영월군(농공단지교),한강,37.224444,128.4225,3,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,17.48,0.1741,D_주의
1002694,영월군(연당교),한강,37.196667,128.4025,1,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,5.16,0.5969,B_신뢰
1002694,영월군(연당교),한강,37.196667,128.4025,2,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,15.49,0.2125,D_주의
1002694,영월군(연당교),한강,37.196667,128.4025,3,221,제천,37.15928,128.19433,충청북도 제천시 신월동,18.91,0.1509,D_주의
1002695,영월군(북쌍리),한강,37.194167,128.409167,1,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,4.51,0.637,A_매우신뢰
1002695,영월군(북쌍리),한강,37.194167,128.409167,2,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,14.95,0.2242,C_보통
