,지점,관할기관,3시간전 수위(m),수위 (m),유량,해발수위 (El.m),대권역,운영 여부,관측 방법,관측소 코드,표준유역 코드,관할 기관
133,영월군(신천교),기후에너지환경부,1.37,1.38,13.75,211.87,한강,운영,T/M,1002687.0,100210,기후에너지환경부
134,영월군(신촌교),기후에너지환경부,1.99,1.98,-,227.41,한강,운영,T/M,1001695.0,100116,기후에너지환경부
135,영월군(영월대교),기후에너지환경부,0.87,0.86,54.25,184.07,한강,운영,T/M,1001690.0,100117,기후에너지환경부
136,영월군(옥동교),기후에너지환경부,1.7,1.69,9.7,185.66,한강,운영,T/M,1003620.0,100305,기후에너지환경부
137,영월군(주채교),기후에너지환경부,2.1,2.09,-,425.48,,,,,100302,
138,영월군(주천교),기후에너지환경부,1.13,1.13,11.85,241.69,한강,운영,T/M,1002685.0,100210,기후에너지환경부
139,영월군(충혼교),기후에너지환경부,1.24,1.23,-,270.91,한강,운영,T/M,1003605.0,100303,기후에너지환경부
140,영월군(팔괴교),기후에너지환경부,0.88,0.87,31.88,182.09,한강,운영,T/M,1002698.0,100213,기후에너지환경부
141,영월군(화병교),기후에너지환경부,5.69,5.68,-,201.44,한강,운영,T/M,1002691.0,100213,기후에너지환경부
142,오산시(탑동대교),기후에너지환경부,0.83,0.83,3.07,11.57,안성천,운영,T/M,1101645.0,110111,기후에너지환경부
143,용인시(덕성1교),기후에너지환경부,2.79,2.79,-,59.99,안성천,운영,T/M,1101621.0,110109,기후에너지환경부
144,용인시(마전교),기후에너지환경부,2.86,2.86,-,92.1,한강,운영,T/M,1016601.0,101601,기후에너지환경부
145,용인시(월촌교),기후에너지환경부,0.57,0.56,-,50.11,한강,운영,T/M,1016607.0,101601,기후에너지환경부
146,용인시(전궁교),기후에너지환경부,2.71,2.71,-,21.68,안성천,운영,T/M,1101656.0,110114,기후에너지환경부
147,원주시(가현교),기후에너지환경부,3.56,3.56,-,98.4,한강,운영,T/M,1006666.0,100606,기후에너지환경부
148,원주시(남한강대교),기후에너지환경부,0.69,0.7,149.65,40.38,한강,운영,T/M,1005697.0,100505,기후에너지환경부
149,원주시(동부교),기후에너지환경부,0.18,0.17,-,151.12,한강,운영,T/M,1006664.0,100606,기후에너지환경부
150,원주시(문막교),기후에너지환경부,1.11,1.11,39.81,51.83,한강,운영,T/M,1006690.0,100610,기후에너지환경부
151,원주시(법천교),기후에너지환경부,0.76,0.76,-,44.6,한강,운영,T/M,1005695.0,100505,기후에너지환경부
152,원주시(봉미교),기후에너지환경부,2.5,2.49,-,98.53,한강,운영,T/M,1006685.0,100609,기후에너지환경부
153,원주시(옥산교),기후에너지환경부,0.36,0.37,-,80.95,한강,운영,T/M,1006670.0,100605,기후에너지환경부
154,원주시(원주교),기후에너지환경부,0.38,0.38,1.4,120.1,한강,운영,T/M,1006665.0,100606,기후에너지환경부
155,원주시(장현교),기후에너지환경부,1.04,1.04,9.99,78.62,한강,운영,T/M,1006672.0,100608,기후에너지환경부
156,원주시(지정대교),기후에너지환경부,1.18,1.19,12.68,60.68,한강,운영,T/M,1006680.0,100608,기후에너지환경부
