,korObs,korInst,waterElevation,sphereLarge,inOperation,methodObs,codeObs,codeWatershed,korStream,1차,2차,3차,4차,5차,6차,7차,8차
193,정선군(정선제1교),기후에너지환경부,296.78,한강,운영,T/M,1001655.0,100112,정선,274.0,62,17,2,2,2,1,
194,정선군(제1여량교),기후에너지환경부,371.14,한강,운영,T/M,1001626.0,100107,골지천하류,152.0,40,6,2,,1,,
195,정선군(혈천교),기후에너지환경부,480.91,한강,운영,T/M,1001622.0,100102,광동댐하류,660.0,140,37,6,2,1,,
196,제천시(강저3교),기후에너지환경부,227.82,한강,운영,T/M,1003657.0,100314,장평천,311.0,85,21,5,1,,,
197,제천시(구곡교),기후에너지환경부,186.77,한강,운영,T/M,1003661.0,100315,제천천하류,214.0,54,13,4,3,1,,
198,제천시(덕동교),기후에너지환경부,266.8,한강,운영,T/M,1003652.0,100316,원서천,264.0,65,15,4,1,,,
199,제천시(부수동교),기후에너지환경부,220.36,한강,운영,T/M,1003658.0,100316,원서천,264.0,65,15,4,1,,,
200,제천시(송계교),기후에너지환경부,160.6,한강,운영,T/M,1003654.0,100318,동달천,37.0,9,3,1,,,,
201,제천시(용암교),기후에너지환경부,228.83,한강,운영,T/M,1003667.0,100317,광천,82.0,17,2,1,,,,
202,제천시(팔송교),기후에너지환경부,215.95,한강,운영,T/M,1003660.0,100313,제천천상류,344.0,76,18,4,1,,,
203,천안시(안궁교),기후에너지환경부,1.45,안성천,운영,T/M,1101628.0,110105,입장천,155.0,43,11,4,2,1,,
204,천안시(안성천교),기후에너지환경부,3.84,안성천,운영,T/M,1101630.0,110107,평택수위표,54.0,17,5,1,3,3,1,
205,천안시(장천교),기후에너지환경부,9.88,안성천,운영,T/M,1101631.0,110106,성환천,137.0,40,10,2,2,,,
206,철원군(대마리),기후에너지환경부,181.5,한강,운영,T/M,1021630.0,102107,역곡천,403.0,91,24,4,1,,,
207,철원군(삼합교),기후에너지환경부,,한강,운영,T/M,1022630.0,102201,한탄강상류,221.0,60,15,3,2,1,,
208,철원군(암정교),기후에너지환경부,218.31,한강,운영,T/M,1022620.0,102202,화강,423.0,106,26,5,1,,,
209,철원군(장수대교),기후에너지환경부,194,한강,운영,T/M,1022626.0,102202,화강,423.0,106,26,5,1,,,
210,철원군(한탄대교),기후에너지환경부,126.7,한강,운영,T/M,1022635.0,102203,대교천합류후,146.0,33,9,1,,1,,
211,청주시(옥화1교),기후에너지환경부,199.85,한강,운영,T/M,1004620.0,100403,압항천합류전,630.0,149,35,4,2,2,1,
212,청주시(청석굴교),기후에너지환경부,212.05,한강,운영,T/M,1004616.0,100402,감천,639.0,158,41,9,2,1,,
213,춘천시(강촌교),기후에너지환경부,52.45,한강,운영,T/M,1013645.0,101304,가평수위표,135.0,31,9,3,,,1,
214,춘천시(소양2교),기후에너지환경부,70.7,한강,운영,T/M,1013637.0,101302,의암댐,78.0,15,3,2,,1,2,
