obscd,korObs,rank,neighbor_obscd,neighbor_korObs,score,n_events,method
1003626,단양군(들골교),1,1005695,원주시(법천교),3.0452,1,T1_avg_dist
1003626,단양군(들골교),2,1006650,횡성군(횡성교),3.3358,1,T1_avg_dist
1003626,단양군(들골교),3,1003661,제천시(구곡교),3.4021,1,T1_avg_dist
1003626,단양군(들골교),4,1003657,제천시(강저3교),3.4283,1,T1_avg_dist
1003626,단양군(들골교),5,1007680,양평군(흑천교),3.5489,1,T1_avg_dist
1003636,단양군(가대교),1,1003642,단양군(덕천교),0.2996,4,T1_avg_dist
1003636,단양군(가대교),2,1001690,영월군(영월대교),0.5883,4,T1_avg_dist
1003636,단양군(가대교),3,1001625,정선군(송천교),0.593,1,T1_avg_dist
1003636,단양군(가대교),4,1001670,영월군(거운교),0.6663,2,T1_avg_dist
1003636,단양군(가대교),5,1002698,영월군(팔괴교),0.7732,2,T1_avg_dist
1003642,단양군(덕천교),1,1003636,단양군(가대교),0.2996,4,T1_avg_dist
1003642,단양군(덕천교),2,1001670,영월군(거운교),0.4964,1,T1_avg_dist
1003642,단양군(덕천교),3,1002698,영월군(팔괴교),0.5134,1,T1_avg_dist
1003642,단양군(덕천교),4,1001690,영월군(영월대교),0.6646,4,T1_avg_dist
1003642,단양군(덕천교),5,1002687,영월군(신천교),0.6859,1,T1_avg_dist
1003645,단양군(단양1교),1,1004616,청주시(청석굴교),1.1741,1,T1_avg_dist
1003645,단양군(단양1교),2,1004680,충주시(문강교),1.4267,3,T1_avg_dist
1003645,단양군(단양1교),3,1004661,괴산군(제2괴산교),1.7176,2,T1_avg_dist
1003645,단양군(단양1교),4,1004620,청주시(옥화1교),1.8588,2,T1_avg_dist
1003645,단양군(단양1교),5,1005640,충주시(목계교),2.0892,1,T1_avg_dist
1003652,제천시(덕동교),1,1003658,제천시(부수동교),1.0033,1,T1_avg_dist
1003652,제천시(덕동교),2,1003660,제천시(팔송교),1.0686,1,T1_avg_dist
1003652,제천시(덕동교),3,1002687,영월군(신천교),1.3812,1,T1_avg_dist
1003652,제천시(덕동교),4,1002693,영월군(농공단지교),1.4755,1,T1_avg_dist
1003652,제천시(덕동교),5,1002685,영월군(주천교),1.5363,1,T1_avg_dist
1003657,제천시(강저3교),1,1004695,충주시(국원대교),0.9768,1,T1_avg_dist
1003657,제천시(강저3교),2,1007640,여주시(율극교),1.2095,1,T1_avg_dist
1003657,제천시(강저3교),3,1007615,여주시(원부교),1.2458,1,T1_avg_dist
1003657,제천시(강저3교),4,1007642,이천시(동산교),1.3462,1,T1_avg_dist
1003657,제천시(강저3교),5,1003661,제천시(구곡교),1.3652,1,T1_avg_dist
1003658,제천시(부수동교),1,1003661,제천시(구곡교),0.5169,1,T1_avg_dist
1003658,제천시(부수동교),2,1007617,여주시(삼합교),0.6778,1,T1_avg_dist
1003658,제천시(부수동교),3,1007605,이천시(장호원교),0.7356,1,T1_avg_dist
1003658,제천시(부수동교),4,1007615,여주시(원부교),0.7653,1,T1_avg_dist
1003658,제천시(부수동교),5,1001630,정선군(나전교),0.811,3,T1_avg_dist
1003660,제천시(팔송교),1,1003661,제천시(구곡교),0.6378,1,T1_avg_dist
1003660,제천시(팔송교),2,1007617,여주시(삼합교),0.6593,1,T1_avg_dist
1003660,제천시(팔송교),3,1006685,원주시(봉미교),0.71,1,T1_avg_dist
1003660,제천시(팔송교),4,1001630,정선군(나전교),0.7206,3,T1_avg_dist
1003660,제천시(팔송교),5,1002693,영월군(농공단지교),0.8433,5,T1_avg_dist
1003661,제천시(구곡교),1,1003658,제천시(부수동교),0.5169,1,T1_avg_dist
1003661,제천시(구곡교),2,1007617,여주시(삼합교),0.666,1,T1_avg_dist
1003661,제천시(구곡교),3,1004695,충주시(국원대교),0.6767,1,T1_avg_dist
1003661,제천시(구곡교),4,1002610,평창군(장평교),0.7399,1,T1_avg_dist
1003661,제천시(구곡교),5,1007605,이천시(장호원교),0.7588,1,T1_avg_dist
1003667,제천시(용암교),1,1004640,괴산군(적석교),3.3162,1,T1_avg_dist
1003667,제천시(용암교),2,1004680,충주시(문강교),3.4604,1,T1_avg_dist
1003667,제천시(용암교),3,1007633,강천보(상류),3.5219,1,T1_avg_dist
1003667,제천시(용암교),4,1001620,정선군(송계교),3.5247,1,T1_avg_dist
1003667,제천시(용암교),5,1001660,정선군(낙동교),3.5443,1,T1_avg_dist
1004616,청주시(청석굴교),1,1003645,단양군(단양1교),1.1741,1,T1_avg_dist
1004616,청주시(청석굴교),2,1003605,영월군(충혼교),1.2089,1,T1_avg_dist
1004616,청주시(청석굴교),3,1004661,괴산군(제2괴산교),1.223,2,T1_avg_dist
1004616,청주시(청석굴교),4,1004670,괴산군(추산교),1.3333,1,T1_avg_dist
1004616,청주시(청석굴교),5,1007617,여주시(삼합교),1.3755,1,T1_avg_dist
1004620,청주시(옥화1교),1,1003645,단양군(단양1교),0.7318,1,T1_avg_dist
1004620,청주시(옥화1교),2,1004695,충주시(국원대교),1.1957,1,T1_avg_dist
1004620,청주시(옥화1교),3,1004680,충주시(문강교),1.311,1,T1_avg_dist
1004620,청주시(옥화1교),4,1004616,청주시(청석굴교),1.4552,5,T1_avg_dist
1004620,청주시(옥화1교),5,1004645,괴산군(수전교),1.498,2,T1_avg_dist
1004631,괴산군(월문교),1,1004646,괴산군(비도교),1.9962,1,T1_avg_dist
1004631,괴산군(월문교),2,1003645,단양군(단양1교),2.5957,1,T1_avg_dist
1004631,괴산군(월문교),3,1004693,괴산군(목도교),2.6876,1,T1_avg_dist
1004631,괴산군(월문교),4,1001650,정선군(삼거리교),2.9244,1,T1_avg_dist
1004631,괴산군(월문교),5,1004645,괴산군(수전교),3.4403,1,T1_avg_dist
1004640,괴산군(적석교),1,1001620,정선군(송계교),1.2033,1,T1_avg_dist
1004640,괴산군(적석교),2,1004620,청주시(옥화1교),1.6887,1,T1_avg_dist
1004640,괴산군(적석교),3,1004616,청주시(청석굴교),2.1079,1,T1_avg_dist
1004640,괴산군(적석교),4,1007640,여주시(율극교),2.2168,1,T1_avg_dist
1004640,괴산군(적석교),5,1001660,정선군(낙동교),2.2443,1,T1_avg_dist
1004645,괴산군(수전교),1,1004693,괴산군(목도교),1.2147,4,T1_avg_dist
1004645,괴산군(수전교),2,1004620,청주시(옥화1교),1.498,2,T1_avg_dist
1004645,괴산군(수전교),3,1003605,영월군(충혼교),1.5533,1,T1_avg_dist
1004645,괴산군(수전교),4,1001622,정선군(혈천교),1.5964,1,T1_avg_dist
1004645,괴산군(수전교),5,1004680,충주시(문강교),1.7264,1,T1_avg_dist
1004646,괴산군(비도교),1,1001660,정선군(낙동교),1.1743,1,T1_avg_dist
1004646,괴산군(비도교),2,1003620,영월군(옥동교),1.258,1,T1_avg_dist
1004646,괴산군(비도교),3,1001645,정선군(와평교),1.3037,1,T1_avg_dist
1004646,괴산군(비도교),4,1001649,정선군(애산교),1.3179,1,T1_avg_dist
1004646,괴산군(비도교),5,1004693,괴산군(목도교),1.9873,3,T1_avg_dist
1004661,괴산군(제2괴산교),1,1004680,충주시(문강교),0.8732,1,T1_avg_dist
1004661,괴산군(제2괴산교),2,1003605,영월군(충혼교),1.0117,3,T1_avg_dist
1004661,괴산군(제2괴산교),3,1004670,괴산군(추산교),1.0581,3,T1_avg_dist
1004661,괴산군(제2괴산교),4,1007617,여주시(삼합교),1.0606,1,T1_avg_dist
1004661,괴산군(제2괴산교),5,1004695,충주시(국원대교),1.1905,2,T1_avg_dist
1004670,괴산군(추산교),1,1004695,충주시(국원대교),0.8393,2,T1_avg_dist
1004670,괴산군(추산교),2,1003605,영월군(충혼교),0.9588,3,T1_avg_dist
1004670,괴산군(추산교),3,1007615,여주시(원부교),0.9715,1,T1_avg_dist
1004670,괴산군(추산교),4,1003620,영월군(옥동교),1.0335,3,T1_avg_dist
1004670,괴산군(추산교),5,1004680,충주시(문강교),1.0544,1,T1_avg_dist
1004680,충주시(문강교),1,1003645,단양군(단양1교),1.0186,2,T1_avg_dist
1004680,충주시(문강교),2,1004661,괴산군(제2괴산교),1.1483,2,T1_avg_dist
1004680,충주시(문강교),3,1004693,괴산군(목도교),1.2713,2,T1_avg_dist
1004680,충주시(문강교),4,1004620,청주시(옥화1교),1.311,1,T1_avg_dist
1004680,충주시(문강교),5,1004695,충주시(국원대교),1.4783,1,T1_avg_dist
1004693,괴산군(목도교),1,1004670,괴산군(추산교),1.1104,1,T1_avg_dist
1004693,괴산군(목도교),2,1003605,영월군(충혼교),1.2028,1,T1_avg_dist
1004693,괴산군(목도교),3,1004645,괴산군(수전교),1.2147,4,T1_avg_dist
1004693,괴산군(목도교),4,1004680,충주시(문강교),1.2713,2,T1_avg_dist
1004693,괴산군(목도교),5,1003620,영월군(옥동교),1.2826,1,T1_avg_dist
1004694,충주시(주덕교),1,1004695,충주시(국원대교),0.9959,1,T1_avg_dist
1004694,충주시(주덕교),2,1004620,청주시(옥화1교),1.6269,1,T1_avg_dist
1004694,충주시(주덕교),3,1004616,청주시(청석굴교),1.9131,1,T1_avg_dist
1004694,충주시(주덕교),4,1004696,충주시(봉계교),1.9841,1,T1_avg_dist
1004694,충주시(주덕교),5,1003657,제천시(강저3교),3.1111,1,T1_avg_dist
1004695,충주시(국원대교),1,1003620,영월군(옥동교),0.5778,1,T1_avg_dist
1004695,충주시(국원대교),2,1003661,제천시(구곡교),0.6767,1,T1_avg_dist
1004695,충주시(국원대교),3,1007617,여주시(삼합교),0.9196,1,T1_avg_dist
1004695,충주시(국원대교),4,1007615,여주시(원부교),0.9208,1,T1_avg_dist
1004695,충주시(국원대교),5,1007610,음성군(총천교),0.9658,1,T1_avg_dist
1004696,충주시(봉계교),1,1004694,충주시(주덕교),1.9841,1,T1_avg_dist
1004696,충주시(봉계교),2,1004616,청주시(청석굴교),2.4147,1,T1_avg_dist
1004696,충주시(봉계교),3,1006650,횡성군(횡성교),2.4364,1,T1_avg_dist
1004696,충주시(봉계교),4,1004695,충주시(국원대교),2.4434,1,T1_avg_dist
