obscd,korObs,rank,neighbor_obscd,neighbor_korObs,dtw_dist
1006666,원주시(가현교),2,1005695,원주시(법천교),1.2795
1006666,원주시(가현교),3,1006660,횡성군(전천교),1.4547
1006666,원주시(가현교),4,1003657,제천시(강저3교),1.4916
1006666,원주시(가현교),5,1006680,원주시(지정대교),1.5234
1006670,원주시(옥산교),1,1006672,원주시(장현교),0.4338
1006670,원주시(옥산교),2,1006690,원주시(문막교),0.6338
1006670,원주시(옥산교),3,1002687,영월군(신천교),1.1219
1006670,원주시(옥산교),4,1007641,여주보(하류),1.2248
1006670,원주시(옥산교),5,1006685,원주시(봉미교),1.2406
1006672,원주시(장현교),1,1006670,원주시(옥산교),0.4338
1006672,원주시(장현교),2,1006690,원주시(문막교),0.5321
1006672,원주시(장현교),3,1002687,영월군(신천교),0.9605
1006672,원주시(장현교),4,1007641,여주보(하류),1.005
1006672,원주시(장현교),5,1002685,영월군(주천교),1.0435
1006680,원주시(지정대교),1,1002685,영월군(주천교),0.6941
1006680,원주시(지정대교),2,1006660,횡성군(전천교),0.7556
1006680,원주시(지정대교),3,1007620,여주시(강천리),0.8296
1006680,원주시(지정대교),4,1002687,영월군(신천교),1.0126
1006680,원주시(지정대교),5,1007635,여주시(여주대교),1.0697
1006685,원주시(봉미교),1,1003660,제천시(팔송교),0.985
1006685,원주시(봉미교),2,1007641,여주보(하류),0.9994
1006685,원주시(봉미교),3,1003661,제천시(구곡교),1.0029
1006685,원주시(봉미교),4,1006690,원주시(문막교),1.006
1006685,원주시(봉미교),5,1002615,평창군(진전교),1.095
1006690,원주시(문막교),1,1006672,원주시(장현교),0.5321
1006690,원주시(문막교),2,1006670,원주시(옥산교),0.6338
1006690,원주시(문막교),3,1007641,여주보(하류),0.9526
1006690,원주시(문막교),4,1006685,원주시(봉미교),1.006
1006690,원주시(문막교),5,1007664,이포보(하류),1.0105
1007604,안성시(한평교),1,1007645,이천시(복하교),2.6965
1007604,안성시(한평교),2,1001655,정선군(정선제1교),2.7267
1007604,안성시(한평교),3,1001670,영월군(거운교),2.7458
1007604,안성시(한평교),4,1001658,정선군(광하교),2.7906
1007604,안성시(한평교),5,1001625,정선군(송천교),2.9012
1007605,이천시(장호원교),1,1007615,여주시(원부교),0.2429
1007605,이천시(장호원교),2,1007617,여주시(삼합교),0.4385
1007605,이천시(장호원교),3,1004695,충주시(국원대교),0.9662
1007605,이천시(장호원교),4,1004670,괴산군(추산교),0.9817
1007605,이천시(장호원교),5,1003605,영월군(충혼교),0.9951
1007610,음성군(총천교),1,1005640,충주시(목계교),1.741
1007610,음성군(총천교),2,1004680,충주시(문강교),1.8619
1007610,음성군(총천교),3,1001622,정선군(혈천교),2.0014
1007610,음성군(총천교),4,1004620,청주시(옥화1교),2.1025
1007610,음성군(총천교),5,1003645,단양군(단양1교),2.2862
1007615,여주시(원부교),1,1007605,이천시(장호원교),0.2429
1007615,여주시(원부교),2,1007617,여주시(삼합교),0.3422
1007615,여주시(원부교),3,1004695,충주시(국원대교),0.9208
1007615,여주시(원부교),4,1004670,괴산군(추산교),0.9715
1007615,여주시(원부교),5,1003605,영월군(충혼교),1.0368
1007617,여주시(삼합교),1,1007615,여주시(원부교),0.3422
1007617,여주시(삼합교),2,1007605,이천시(장호원교),0.4385
1007617,여주시(삼합교),3,1003605,영월군(충혼교),0.9027
1007617,여주시(삼합교),4,1004695,충주시(국원대교),0.9196
1007617,여주시(삼합교),5,1004670,괴산군(추산교),1.0441
1007620,여주시(강천리),1,1007641,여주보(하류),0.6624
1007620,여주시(강천리),2,1002685,영월군(주천교),0.7228
1007620,여주시(강천리),3,1006680,원주시(지정대교),0.8296
