watershed4,obscd_a,korObs_a,obscd_b,korObs_b,mean_lag_h,std_lag_h,n_events
1005,1005660,충주시(세포교),1005697,원주시(남한강대교),0.0,0.0,1
1005,1005640,충주시(목계교),1005650,충주시(능암교),1.0,0.0,1
1005,1005650,충주시(능암교),1005660,충주시(세포교),1.0,0.0,1
1005,1005650,충주시(능암교),1005695,원주시(법천교),1.0,0.0,1
1005,1005650,충주시(능암교),1005697,원주시(남한강대교),1.0,0.0,1
1005,1005640,충주시(목계교),1005660,충주시(세포교),2.0,0.0,1
1005,1005695,원주시(법천교),1005697,원주시(남한강대교),4.8,3.19,5
1005,1005640,충주시(목계교),1005695,원주시(법천교),33.4,28.02,5
1005,1005640,충주시(목계교),1005697,원주시(남한강대교),38.2,29.21,5
1006,1006677,원주시(판대2교),1006685,원주시(봉미교),-30.0,0.0,1
1006,1006628,횡성군(청곡교),1006665,원주시(원주교),-28.0,0.0,1
1006,1006628,횡성군(청곡교),1006666,원주시(가현교),-27.0,0.0,1
1006,1006628,횡성군(청곡교),1006685,원주시(봉미교),-27.0,0.0,1
1006,1006628,횡성군(청곡교),1006660,횡성군(전천교),-23.0,0.0,1
1006,1006680,원주시(지정대교),1006685,원주시(봉미교),-9.0,14.56,5
1006,1006650,횡성군(횡성교),1006665,원주시(원주교),-8.0,12.86,5
1006,1006630,횡성군(오산교),1006665,원주시(원주교),-7.6,11.97,5
1006,1006670,원주시(옥산교),1006685,원주시(봉미교),-7.4,14.42,5
1006,1006672,원주시(장현교),1006685,원주시(봉미교),-7.4,14.42,5
1006,1006650,횡성군(횡성교),1006666,원주시(가현교),-7.2,12.77,5
1006,1006650,횡성군(횡성교),1006685,원주시(봉미교),-7.2,12.77,5
1006,1006630,횡성군(오산교),1006666,원주시(가현교),-6.8,11.88,5
1006,1006630,횡성군(오산교),1006685,원주시(봉미교),-6.8,11.88,5
1006,1006650,횡성군(횡성교),1006660,횡성군(전천교),-6.6,10.85,5
1006,1006630,횡성군(오산교),1006660,횡성군(전천교),-6.2,9.96,5
1006,1006670,원주시(옥산교),1006677,원주시(판대2교),-3.0,0.0,1
1006,1006672,원주시(장현교),1006677,원주시(판대2교),-3.0,0.0,1
1006,1006660,횡성군(전천교),1006665,원주시(원주교),-1.4,2.19,5
1006,1006660,횡성군(전천교),1006666,원주시(가현교),-0.6,2.3,5
1006,1006660,횡성군(전천교),1006685,원주시(봉미교),-0.6,2.3,5
1006,1006650,횡성군(횡성교),1006677,원주시(판대2교),0.0,0.0,1
1006,1006666,원주시(가현교),1006685,원주시(봉미교),0.0,0.0,5
1006,1006670,원주시(옥산교),1006672,원주시(장현교),0.0,0.0,5
1006,1006650,횡성군(횡성교),1006670,원주시(옥산교),0.2,1.79,5
1006,1006650,횡성군(횡성교),1006672,원주시(장현교),0.2,1.79,5
1006,1006630,횡성군(오산교),1006650,횡성군(횡성교),0.4,0.89,5
1006,1006630,횡성군(오산교),1006670,원주시(옥산교),0.6,2.61,5
1006,1006630,횡성군(오산교),1006672,원주시(장현교),0.6,2.61,5
1006,1006665,원주시(원주교),1006666,원주시(가현교),0.8,0.45,5
1006,1006665,원주시(원주교),1006685,원주시(봉미교),0.8,0.45,5
1006,1006680,원주시(지정대교),1006690,원주시(문막교),0.8,1.1,5
1006,1006628,횡성군(청곡교),1006630,횡성군(오산교),1.0,0.0,1
1006,1006670,원주시(옥산교),1006680,원주시(지정대교),1.6,0.89,5
1006,1006672,원주시(장현교),1006680,원주시(지정대교),1.6,0.89,5
1006,1006650,횡성군(횡성교),1006680,원주시(지정대교),1.8,1.79,5
1006,1006630,횡성군(오산교),1006677,원주시(판대2교),2.0,0.0,1
1006,1006630,횡성군(오산교),1006680,원주시(지정대교),2.2,2.68,5
1006,1006670,원주시(옥산교),1006690,원주시(문막교),2.4,1.95,5
1006,1006672,원주시(장현교),1006690,원주시(문막교),2.4,1.95,5
1006,1006650,횡성군(횡성교),1006690,원주시(문막교),2.6,2.61,5
1006,1006628,횡성군(청곡교),1006650,횡성군(횡성교),3.0,0.0,1
1006,1006628,횡성군(청곡교),1006677,원주시(판대2교),3.0,0.0,1
1006,1006630,횡성군(오산교),1006690,원주시(문막교),3.0,3.46,5
1006,1006677,원주시(판대2교),1006680,원주시(지정대교),5.0,0.0,1
1006,1006628,횡성군(청곡교),1006670,원주시(옥산교),6.0,0.0,1
1006,1006628,횡성군(청곡교),1006672,원주시(장현교),6.0,0.0,1
1006,1006660,횡성군(전천교),1006670,원주시(옥산교),6.8,12.42,5
1006,1006660,횡성군(전천교),1006672,원주시(장현교),6.8,12.42,5
1006,1006677,원주시(판대2교),1006690,원주시(문막교),7.0,0.0,1
1006,1006666,원주시(가현교),1006670,원주시(옥산교),7.4,14.42,5
1006,1006666,원주시(가현교),1006672,원주시(장현교),7.4,14.42,5
1006,1006628,횡성군(청곡교),1006680,원주시(지정대교),8.0,0.0,1
1006,1006665,원주시(원주교),1006670,원주시(옥산교),8.2,14.48,5
1006,1006665,원주시(원주교),1006672,원주시(장현교),8.2,14.48,5
1006,1006660,횡성군(전천교),1006680,원주시(지정대교),8.4,12.64,5
1006,1006666,원주시(가현교),1006680,원주시(지정대교),9.0,14.56,5
1006,1006660,횡성군(전천교),1006690,원주시(문막교),9.2,13.37,5
1006,1006665,원주시(원주교),1006680,원주시(지정대교),9.8,14.65,5
1006,1006666,원주시(가현교),1006690,원주시(문막교),9.8,15.21,5
1006,1006685,원주시(봉미교),1006690,원주시(문막교),9.8,15.21,5
1006,1006628,횡성군(청곡교),1006690,원주시(문막교),10.0,0.0,1
1006,1006665,원주시(원주교),1006690,원주시(문막교),10.6,15.32,5
1006,1006660,횡성군(전천교),1006677,원주시(판대2교),26.0,0.0,1
1006,1006666,원주시(가현교),1006677,원주시(판대2교),30.0,0.0,1
1006,1006665,원주시(원주교),1006677,원주시(판대2교),31.0,0.0,1
1007,1007610,음성군(총천교),1007626,여주시(용은교),-56.0,0.0,1
1007,1007620,여주시(강천리),1007626,여주시(용은교),-38.0,0.0,1
1007,1007625,여주시(남한강교),1007626,여주시(용은교),-38.0,0.0,1
1007,1007637,여주시(당우교),1007642,이천시(동산교),-37.0,0.0,1
1007,1007637,여주시(당우교),1007645,이천시(복하교),-35.0,0.0,1
1007,1007637,여주시(당우교),1007650,여주시(흥천대교),-35.0,0.0,1
1007,1007634,강천보(하류),1007642,이천시(동산교),-33.0,12.92,5
1007,1007637,여주시(당우교),1007640,여주시(율극교),-33.0,0.0,1
1007,1007641,여주보(하류),1007642,이천시(동산교),-32.4,12.34,5
1007,1007634,강천보(하류),1007650,여주시(흥천대교),-31.6,13.22,5
1007,1007634,강천보(하류),1007645,이천시(복하교),-31.2,12.48,5
1007,1007637,여주시(당우교),1007662,이포보(상류),-31.0,0.0,1
1007,1007641,여주보(하류),1007650,여주시(흥천대교),-31.0,12.57,5
1007,1007641,여주보(하류),1007645,이천시(복하교),-30.6,11.91,5
1007,1007620,여주시(강천리),1007642,이천시(동산교),-30.4,11.7,5
1007,1007625,여주시(남한강교),1007642,이천시(동산교),-30.4,11.7,5
1007,1007610,음성군(총천교),1007687,양평군(여물교),-30.0,0.0,1
