대권역,관측소 명,운영 여부,관측 방법,관측소 코드,표준유역 코드,관할 기관
한강,아라한강갑문(외),운영,T/M,1019637,101903,한국수자원공사
한강,박촌1교,운영,T/M,1019647,101903,한국수자원공사
한강,계양대교,운영,T/M,1019648,101903,한국수자원공사
한강,귤현보(상),운영,T/M,1019651,101903,한국수자원공사
한강,귤현보(하),운영,T/M,1019652,101903,한국수자원공사
한강,벌말교,운영,T/M,1019653,101903,한국수자원공사
한강,인천시(상야교),운영,T/M,1019657,101903,기후에너지환경부
한강,김포시(사우교),운영,T/M,1019661,101904,기후에너지환경부
한강,양주시(제궁교),운영,T/M,1019663,101905,기후에너지환경부
한강,고양시(원당교),운영,T/M,1019667,101905,기후에너지환경부
한강,김포시(전류리),운영,T/M,1019675,101906,기후에너지환경부
한강,파주시(교하교),운영,T/M,1019680,101906,기후에너지환경부
한강,철원군(백마교),운영,T/M,1021628,102107,한국수자원공사
한강,철원군(대마리),운영,T/M,1021630,102107,기후에너지환경부
한강,연천군(필승교),운영,T/M,1021650,102108,기후에너지환경부
한강,연천군(임진교),운영,T/M,1021680,102109,기후에너지환경부
한강,철원군(암정교),운영,T/M,1022620,102202,기후에너지환경부
한강,철원군(장수대교),운영,T/M,1022626,102202,기후에너지환경부
한강,철원군(삼합교),운영,T/M,1022630,102201,기후에너지환경부
한강,토교,운영,T/M,1022631,102203,한국농어촌공사
한강,철원군(한탄대교),운영,T/M,1022635,102203,기후에너지환경부
한강,철원군(군탄교),운영,T/M,1022638,102204,한국수자원공사
한강,포천시(용담교),운영,T/M,1022640,102204,기후에너지환경부
한강,포천시(제1도평교),운영,T/M,1022641,102206,기후에너지환경부
한강,포천시(대회산교),운영,T/M,1022642,102205,한국수자원공사
한강,포천시(영로대교),운영,T/M,1022643,102205,한국수자원공사
한강,연천군(한탄강댐),운영,T/M,1022644,102205,한국수자원공사
한강,연천군(한여울교),운영,T/M,1022645,102205,한국수자원공사
한강,포천시(낭유대교),운영,T/M,1022646,102206,기후에너지환경부
한강,포천시(포천대교),운영,T/M,1022647,102208,기후에너지환경부
한강,포천시(은현교),운영,T/M,1022648,102209,기후에너지환경부
한강,포천시(지현교),운영,T/M,1022649,102209,기후에너지환경부
한강,포천시(영평교),운영,T/M,1022650,102210,기후에너지환경부
한강,포천시(가산교),운영,T/M,1022651,102208,기후에너지환경부
한강,포천시(신백의교),운영,T/M,1022655,102210,기후에너지환경부
한강,양주시(발운2교),운영,T/M,1022660,102211,기후에너지환경부
한강,연천군(보막교),운영,T/M,1022661,102214,기후에너지환경부
한강,연천군(차탄교),운영,T/M,1022662,102214,기후에너지환경부
한강,궁신교,운영,T/M,1022664,102215,한국수자원공사
한강,연천군(고탄교),운영,T/M,1022666,102215,한국수자원공사
한강,동두천시(송천교),운영,T/M,1022668,102213,기후에너지환경부
한강,연천군(신천교),운영,T/M,1022670,102213,기후에너지환경부
한강,연천군(사랑교),운영,T/M,1022680,102215,기후에너지환경부
한강,파주시(덕천교),운영,T/M,1023635,102303,기후에너지환경부
한강,연천군(삼화교),운영,T/M,1023640,102301,기후에너지환경부
한강,파주시(비룡대교),운영,T/M,1023660,102301,기후에너지환경부
한강,연천군(사미천교),운영,T/M,1023662,102302,기후에너지환경부
한강,파주시(전진교),운영,T/M,1023667,102304,기후에너지환경부
한강,파주시(통일대교),운영,T/M,1023670,102304,기후에너지환경부
한강,파주시(신우교),운영,T/M,1023671,102305,기후에너지환경부
한강,파주시(만장교),운영,T/M,1023674,102305,기후에너지환경부
한강,파주시(주월교),운영,T/M,1023677,102306,기후에너지환경부
한강,파주시(아가메교),운영,T/M,1023680,102306,기후에너지환경부
안성천,수원시(매세교),운영,T/M,1101601,110112,기후에너지환경부
안성천,수원시(백년교),운영,T/M,1101604,110112,기후에너지환경부
안성천,화성시(화산교),운영,T/M,1101605,110113,기후에너지환경부
안성천,안성시(현수교),운영,T/M,1101606,110101,기후에너지환경부
안성천,금광,운영,T/M,1101609,110101,한국농어촌공사
안성천,안성시(옥산대교),운영,T/M,1101610,110101,기후에너지환경부
안성천,안성시(평촌교),운영,T/M,1101611,110103,기후에너지환경부
안성천,고삼,운영,T/M,1101615,110102,한국농어촌공사
안성천,안성시(고지교),운영,T/M,1101616,110104,기후에너지환경부
안성천,안성시(한천교),운영,T/M,1101618,110103,기후에너지환경부
안성천,안성시(건천리),운영,T/M,1101620,110107,기후에너지환경부
안성천,용인시(덕성1교),운영,T/M,1101621,110109,기후에너지환경부
안성천,이동,운영,T/M,1101625,110109,한국농어촌공사
안성천,천안시(안궁교),운영,T/M,1101628,110105,기후에너지환경부
안성천,천안시(안성천교),운영,T/M,1101630,110107,기후에너지환경부
안성천,천안시(장천교),운영,T/M,1101631,110106,기후에너지환경부
안성천,평택시(군문교),운영,T/M,1101635,110107,기후에너지환경부
안성천,오산시(탑동대교),운영,T/M,1101645,110111,기후에너지환경부
안성천,화성시(수직교),운영,T/M,1101650,110113,기후에너지환경부
