지점,관할기관,3시간전 수위(m),수위 (m),유량,해발수위 (El.m)
괴산군(수전교),기후에너지환경부,0.43,0.43,-,110.65
괴산군(월문교),기후에너지환경부,2.93,2.93,-,175.96
괴산군(적석교),기후에너지환경부,2.6,2.59,-,202.84
괴산군(제2괴산교),기후에너지환경부,2.03,2.03,-,107.08
괴산군(추산교),기후에너지환경부,0.79,0.79,-,96.07
김포시(사우교),기후에너지환경부,0.59,0.69,-,2.21
김포시(전류리),기후에너지환경부,3.06,1.34,-,1.24
남양주시(내곡교),기후에너지환경부,0.93,0.93,6.05,34.43
남양주시(부평교),기후에너지환경부,0.08,0.07,0.63,56.35
남양주시(삼봉리),기후에너지환경부,0.6,0.63,-,25.05
남양주시(연평대교),기후에너지환경부,0.23,0.21,-,44.71
남양주시(왕숙교),기후에너지환경부,1.02,1.02,3.37,11.36
남양주시(진관교),기후에너지환경부,0.66,0.66,1.74,22.01
남양주시(퇴계원리),기후에너지환경부,0.47,0.47,15.39,21.96
남양주시(팔당대교),기후에너지환경부,1.05,1.05,161.31,6.62
남양주시(팔당댐),기후에너지환경부,24.92,24.95,-,24.96
단양군(가대교),기후에너지환경부,2.02,2,-,141.45
단양군(단양1교),기후에너지환경부,0.4,0.4,3.36,141.3
단양군(덕천교),기후에너지환경부,1.83,1.82,-,136.85
단양군(들골교),기후에너지환경부,2.89,2.89,-,157.94
단양군(음지교),기후에너지환경부,0.78,0.78,-,223.27
동두천시(송천교),기후에너지환경부,1.27,1.27,1.57,58.3
동해시(북평교),기후에너지환경부,-0.29,-0.27,0.28,-0.08
부천시(도두리2교),기후에너지환경부,0.38,0.45,-,3.88
삼척시(남양촌교),기후에너지환경부,1.56,1.56,3.44,50.74
삼척시(마차교),기후에너지환경부,1.34,1.34,-,119.45
삼척시(상정교),기후에너지환경부,1.31,1.3,4.82,44.32
삼척시(오십천교),기후에너지환경부,1.63,1.6,-,-0.15
삼척시(전두3교),기후에너지환경부,2.13,2.13,-,241.34
서울시(광진교),기후에너지환경부,1.13,1.14,138.3,6.42
서울시(너부대교),기후에너지환경부,0.51,0.54,-,7.41
서울시(대곡교),기후에너지환경부,1.8,1.8,7.83,11.36
서울시(대치교),기후에너지환경부,1.49,1.48,0.72,5.94
서울시(신대방1교),기후에너지환경부,0.06,0.07,0.32,12.66
서울시(신림5교),기후에너지환경부,2.46,2.46,0.18,50.41
서울시(오금교),기후에너지환경부,0.68,0.68,5.07,3.68
서울시(월계2교),기후에너지환경부,0.27,0.27,0.24,16.63
서울시(잠수교),기후에너지환경부,2.69,2.83,-,2.76
서울시(중랑교),기후에너지환경부,0.49,0.49,3.44,9.65
서울시(창동교),기후에너지환경부,0.54,0.53,1.68,15.15
서울시(청담대교),기후에너지환경부,0.97,1.05,274.78,2.8
서울시(한강대교),기후에너지환경부,0.54,0.71,591.54,2.78
서울시(행주대교),기후에너지환경부,1.85,1.91,493.58,2.71
서울시(홍남교),기후에너지환경부,2.11,2.09,-,16.95
성남시(궁내교),기후에너지환경부,0.75,0.74,2.53,33.83
성남시(둔전교),기후에너지환경부,3.65,3.64,-,18.99
속초시(도문교),기후에너지환경부,2.4,2.4,-,83.07
속초시(응골교),기후에너지환경부,2.47,2.47,-,7.11
수원시(매세교),기후에너지환경부,2.31,2.31,-,32.06
수원시(백년교),기후에너지환경부,2.34,2.33,-,22.95
아산시(운교교),기후에너지환경부,1.99,1.99,-,3.37
안산시(안산10교),기후에너지환경부,2.15,2.15,-,0.63
안성시(건천리),기후에너지환경부,-0.05,-0.05,0,8.27
안성시(고지교),기후에너지환경부,2.11,2.11,-,13.67
안성시(두현교),기후에너지환경부,2.46,2.46,-,89.46
안성시(옥산대교),기후에너지환경부,-0.29,-0.29,0.61,18.38
안성시(평촌교),기후에너지환경부,2.39,2.39,-,33.06
안성시(한천교),기후에너지환경부,3.12,3.12,-,12.03
안성시(한평교),기후에너지환경부,1.39,1.39,0.99,77.56
안성시(현수교),기후에너지환경부,0.42,0.42,-,26.79
