obscd,korObs,rank,neighbor_obscd,neighbor_korObs,score,method
1002687,영월군(신천교),3,1006680,원주시(지정대교),3,T2_frequency
1002687,영월군(신천교),4,1006690,원주시(문막교),3,T2_frequency
1002687,영월군(신천교),5,1007620,여주시(강천리),3,T2_frequency
1002691,영월군(화병교),1,1001602,평창군(송정교),1,T2_frequency
1002691,영월군(화병교),2,1001630,정선군(나전교),1,T2_frequency
1002691,영월군(화병교),3,1001670,영월군(거운교),1,T2_frequency
1002691,영월군(화병교),4,1002698,영월군(팔괴교),1,T2_frequency
1002691,영월군(화병교),5,1003625,영월군(각동교),1,T2_frequency
1002693,영월군(농공단지교),1,1003660,제천시(팔송교),5,T2_frequency
1002693,영월군(농공단지교),2,1003661,제천시(구곡교),4,T2_frequency
1002693,영월군(농공단지교),3,1002610,평창군(장평교),3,T2_frequency
1002693,영월군(농공단지교),4,1002625,평창군(선애교),3,T2_frequency
1002693,영월군(농공단지교),5,1005695,원주시(법천교),3,T2_frequency
1002698,영월군(팔괴교),1,1001630,정선군(나전교),4,T2_frequency
1002698,영월군(팔괴교),2,1003636,단양군(가대교),4,T2_frequency
1002698,영월군(팔괴교),3,1003642,단양군(덕천교),4,T2_frequency
1002698,영월군(팔괴교),4,1002635,평창군(사초교),3,T2_frequency
1002698,영월군(팔괴교),5,1002640,평창군(상방림교),3,T2_frequency
1003601,영월군(주채교),1,1003603,영월군(내리2교),1,T2_frequency
1003601,영월군(주채교),2,1004631,괴산군(월문교),1,T2_frequency
1003601,영월군(주채교),3,1004645,괴산군(수전교),1,T2_frequency
1003601,영월군(주채교),4,1004646,괴산군(비도교),1,T2_frequency
1003601,영월군(주채교),5,1004693,괴산군(목도교),1,T2_frequency
1003603,영월군(내리2교),1,1003601,영월군(주채교),1,T2_frequency
1003603,영월군(내리2교),2,1004645,괴산군(수전교),1,T2_frequency
1003603,영월군(내리2교),3,1004646,괴산군(비도교),1,T2_frequency
1003603,영월군(내리2교),4,1004693,괴산군(목도교),1,T2_frequency
1003603,영월군(내리2교),5,1005640,충주시(목계교),1,T2_frequency
1003605,영월군(충혼교),1,1003620,영월군(옥동교),3,T2_frequency
1003605,영월군(충혼교),2,1004661,괴산군(제2괴산교),3,T2_frequency
1003605,영월군(충혼교),3,1004670,괴산군(추산교),3,T2_frequency
1003605,영월군(충혼교),4,1001620,정선군(송계교),1,T2_frequency
1003605,영월군(충혼교),5,1001626,정선군(제1여량교),1,T2_frequency
1003620,영월군(옥동교),1,1003605,영월군(충혼교),3,T2_frequency
1003620,영월군(옥동교),2,1004670,괴산군(추산교),3,T2_frequency
1003620,영월군(옥동교),3,1004661,괴산군(제2괴산교),2,T2_frequency
1003620,영월군(옥동교),4,1001622,정선군(혈천교),1,T2_frequency
1003620,영월군(옥동교),5,1001626,정선군(제1여량교),1,T2_frequency
1003625,영월군(각동교),1,1001630,정선군(나전교),1,T2_frequency
1003625,영월군(각동교),2,1001670,영월군(거운교),1,T2_frequency
1003625,영월군(각동교),3,1002691,영월군(화병교),1,T2_frequency
1003625,영월군(각동교),4,1002698,영월군(팔괴교),1,T2_frequency
1003625,영월군(각동교),5,1003636,단양군(가대교),1,T2_frequency
1003626,단양군(들골교),1,1003657,제천시(강저3교),1,T2_frequency
1003626,단양군(들골교),2,1003661,제천시(구곡교),1,T2_frequency
1003626,단양군(들골교),3,1005695,원주시(법천교),1,T2_frequency
1003626,단양군(들골교),4,1006650,횡성군(횡성교),1,T2_frequency
1003626,단양군(들골교),5,1007680,양평군(흑천교),1,T2_frequency
1003636,단양군(가대교),1,1001630,정선군(나전교),4,T2_frequency
1003636,단양군(가대교),2,1001690,영월군(영월대교),4,T2_frequency
1003636,단양군(가대교),3,1003642,단양군(덕천교),4,T2_frequency
1003636,단양군(가대교),4,1001602,평창군(송정교),3,T2_frequency
1003636,단양군(가대교),5,1001645,정선군(와평교),3,T2_frequency
1003642,단양군(덕천교),1,1001690,영월군(영월대교),4,T2_frequency
1003642,단양군(덕천교),2,1003636,단양군(가대교),4,T2_frequency
1003642,단양군(덕천교),3,1001602,평창군(송정교),3,T2_frequency
1003642,단양군(덕천교),4,1001630,정선군(나전교),3,T2_frequency
1003642,단양군(덕천교),5,1001645,정선군(와평교),3,T2_frequency
1003645,단양군(단양1교),1,1004680,충주시(문강교),3,T2_frequency
1003645,단양군(단양1교),2,1001620,정선군(송계교),2,T2_frequency
1003645,단양군(단양1교),3,1001626,정선군(제1여량교),2,T2_frequency
1003645,단양군(단양1교),4,1004620,청주시(옥화1교),2,T2_frequency
1003645,단양군(단양1교),5,1004661,괴산군(제2괴산교),2,T2_frequency
1003652,제천시(덕동교),1,1002685,영월군(주천교),1,T2_frequency
1003652,제천시(덕동교),2,1002687,영월군(신천교),1,T2_frequency
1003652,제천시(덕동교),3,1002693,영월군(농공단지교),1,T2_frequency
1003652,제천시(덕동교),4,1003658,제천시(부수동교),1,T2_frequency
1003652,제천시(덕동교),5,1003660,제천시(팔송교),1,T2_frequency
1003657,제천시(강저3교),1,1006666,원주시(가현교),4,T2_frequency
1003657,제천시(강저3교),2,1005695,원주시(법천교),3,T2_frequency
1003657,제천시(강저3교),3,1006660,횡성군(전천교),3,T2_frequency
1003657,제천시(강저3교),4,1006665,원주시(원주교),3,T2_frequency
1003657,제천시(강저3교),5,1006680,원주시(지정대교),3,T2_frequency
1003658,제천시(부수동교),1,1003660,제천시(팔송교),5,T2_frequency
1003658,제천시(부수동교),2,1001602,평창군(송정교),3,T2_frequency
1003658,제천시(부수동교),3,1001630,정선군(나전교),3,T2_frequency
1003658,제천시(부수동교),4,1002635,평창군(사초교),3,T2_frequency
1003658,제천시(부수동교),5,1002650,평창군(평창교),3,T2_frequency
1003660,제천시(팔송교),1,1002693,영월군(농공단지교),5,T2_frequency
1003660,제천시(팔송교),2,1001602,평창군(송정교),3,T2_frequency
1003660,제천시(팔송교),3,1001630,정선군(나전교),3,T2_frequency
1003660,제천시(팔송교),4,1002625,평창군(선애교),3,T2_frequency
1003660,제천시(팔송교),5,1002650,평창군(평창교),3,T2_frequency
1003661,제천시(구곡교),1,1003660,제천시(팔송교),4,T2_frequency
1003661,제천시(구곡교),2,1005695,원주시(법천교),4,T2_frequency
1003661,제천시(구곡교),3,1001630,정선군(나전교),3,T2_frequency
1003661,제천시(구곡교),4,1002693,영월군(농공단지교),3,T2_frequency
1003661,제천시(구곡교),5,1006685,원주시(봉미교),3,T2_frequency
1003667,제천시(용암교),1,1001620,정선군(송계교),1,T2_frequency
1003667,제천시(용암교),2,1001660,정선군(낙동교),1,T2_frequency
1003667,제천시(용암교),3,1004640,괴산군(적석교),1,T2_frequency
1003667,제천시(용암교),4,1004680,충주시(문강교),1,T2_frequency
1003667,제천시(용암교),5,1007633,강천보(상류),1,T2_frequency
1004616,청주시(청석굴교),1,1004620,청주시(옥화1교),4,T2_frequency
1004616,청주시(청석굴교),2,1001629,정선군(남평대교),2,T2_frequency
1004616,청주시(청석굴교),3,1004661,괴산군(제2괴산교),2,T2_frequency
1004616,청주시(청석굴교),4,1007604,안성시(한평교),2,T2_frequency
1004616,청주시(청석굴교),5,1007605,이천시(장호원교),2,T2_frequency
1004620,청주시(옥화1교),1,1004616,청주시(청석굴교),5,T2_frequency
1004620,청주시(옥화1교),2,1004645,괴산군(수전교),2,T2_frequency
1004620,청주시(옥화1교),3,1004693,괴산군(목도교),2,T2_frequency
1004620,청주시(옥화1교),4,1007604,안성시(한평교),2,T2_frequency
1004620,청주시(옥화1교),5,1007605,이천시(장호원교),2,T2_frequency
1004631,괴산군(월문교),1,1001650,정선군(삼거리교),1,T2_frequency
1004631,괴산군(월문교),2,1003645,단양군(단양1교),1,T2_frequency
1004631,괴산군(월문교),3,1004645,괴산군(수전교),1,T2_frequency
1004631,괴산군(월문교),4,1004646,괴산군(비도교),1,T2_frequency
1004631,괴산군(월문교),5,1004693,괴산군(목도교),1,T2_frequency
1004640,괴산군(적석교),1,1001620,정선군(송계교),1,T2_frequency
1004640,괴산군(적석교),2,1001660,정선군(낙동교),1,T2_frequency
1004640,괴산군(적석교),3,1004616,청주시(청석굴교),1,T2_frequency
1004640,괴산군(적석교),4,1004620,청주시(옥화1교),1,T2_frequency
1004640,괴산군(적석교),5,1007640,여주시(율극교),1,T2_frequency
1004645,괴산군(수전교),1,1004693,괴산군(목도교),4,T2_frequency
1004645,괴산군(수전교),2,1001660,정선군(낙동교),3,T2_frequency
1004645,괴산군(수전교),3,1003645,단양군(단양1교),2,T2_frequency
1004645,괴산군(수전교),4,1004620,청주시(옥화1교),2,T2_frequency
1004645,괴산군(수전교),5,1004646,괴산군(비도교),2,T2_frequency
1004646,괴산군(비도교),1,1004693,괴산군(목도교),3,T2_frequency
1004646,괴산군(비도교),2,1002650,평창군(평창교),2,T2_frequency
1004646,괴산군(비도교),3,1002675,횡성군(안흥교),2,T2_frequency
1004646,괴산군(비도교),4,1002680,영월군(두학교),2,T2_frequency
1004646,괴산군(비도교),5,1003645,단양군(단양1교),2,T2_frequency
1004661,괴산군(제2괴산교),1,1003605,영월군(충혼교),3,T2_frequency
1004661,괴산군(제2괴산교),2,1004670,괴산군(추산교),3,T2_frequency
1004661,괴산군(제2괴산교),3,1007610,음성군(총천교),3,T2_frequency
1004661,괴산군(제2괴산교),4,1003620,영월군(옥동교),2,T2_frequency
1004661,괴산군(제2괴산교),5,1004616,청주시(청석굴교),2,T2_frequency
1004670,괴산군(추산교),1,1003605,영월군(충혼교),3,T2_frequency
1004670,괴산군(추산교),2,1003620,영월군(옥동교),3,T2_frequency
1004670,괴산군(추산교),3,1004661,괴산군(제2괴산교),3,T2_frequency
1004670,괴산군(추산교),4,1004693,괴산군(목도교),2,T2_frequency
1004670,괴산군(추산교),5,1004695,충주시(국원대교),2,T2_frequency
1004680,충주시(문강교),1,1001620,정선군(송계교),2,T2_frequency
1004680,충주시(문강교),2,1001626,정선군(제1여량교),2,T2_frequency
1004680,충주시(문강교),3,1003605,영월군(충혼교),2,T2_frequency
1004680,충주시(문강교),4,1003645,단양군(단양1교),2,T2_frequency
1004680,충주시(문강교),5,1004661,괴산군(제2괴산교),2,T2_frequency
1004693,괴산군(목도교),1,1004645,괴산군(수전교),4,T2_frequency
1004693,괴산군(목도교),2,1004646,괴산군(비도교),3,T2_frequency
1004693,괴산군(목도교),3,1001645,정선군(와평교),2,T2_frequency
1004693,괴산군(목도교),4,1001649,정선군(애산교),2,T2_frequency
1004693,괴산군(목도교),5,1001660,정선군(낙동교),2,T2_frequency
1004694,충주시(주덕교),1,1003657,제천시(강저3교),1,T2_frequency
1004694,충주시(주덕교),2,1004616,청주시(청석굴교),1,T2_frequency
1004694,충주시(주덕교),3,1004620,청주시(옥화1교),1,T2_frequency
1004694,충주시(주덕교),4,1004695,충주시(국원대교),1,T2_frequency
1004694,충주시(주덕교),5,1004696,충주시(봉계교),1,T2_frequency
1004695,충주시(국원대교),1,1004670,괴산군(추산교),3,T2_frequency
1004695,충주시(국원대교),2,1004616,청주시(청석굴교),2,T2_frequency
1004695,충주시(국원대교),3,1004620,청주시(옥화1교),2,T2_frequency
1004695,충주시(국원대교),4,1005640,충주시(목계교),2,T2_frequency
1004695,충주시(국원대교),5,1007605,이천시(장호원교),2,T2_frequency
1004696,충주시(봉계교),1,1004616,청주시(청석굴교),1,T2_frequency
1004696,충주시(봉계교),2,1004620,청주시(옥화1교),1,T2_frequency
1004696,충주시(봉계교),3,1004694,충주시(주덕교),1,T2_frequency
1004696,충주시(봉계교),4,1004695,충주시(국원대교),1,T2_frequency
1004696,충주시(봉계교),5,1006650,횡성군(횡성교),1,T2_frequency
1005605,충주시(탄금교),1,1007633,강천보(상류),4,T2_frequency
1005605,충주시(탄금교),2,1007639,여주보(상류),4,T2_frequency
1005605,충주시(탄금교),3,1007697,양평군(신원리),4,T2_frequency
1005605,충주시(탄금교),4,1007662,이포보(상류),3,T2_frequency
1005605,충주시(탄금교),5,1007604,안성시(한평교),2,T2_frequency
1005640,충주시(목계교),1,1004670,괴산군(추산교),3,T2_frequency
1005640,충주시(목계교),2,1003605,영월군(충혼교),2,T2_frequency
1005640,충주시(목계교),3,1004680,충주시(문강교),2,T2_frequency
1005640,충주시(목계교),4,1001622,정선군(혈천교),1,T2_frequency
1005640,충주시(목계교),5,1001626,정선군(제1여량교),1,T2_frequency
1005650,충주시(능암교),1,1007605,이천시(장호원교),1,T2_frequency
1005650,충주시(능암교),2,1007617,여주시(삼합교),1,T2_frequency
1005650,충주시(능암교),3,1007626,여주시(용은교),1,T2_frequency
1005650,충주시(능암교),4,1007642,이천시(동산교),1,T2_frequency
1005650,충주시(능암교),5,1007650,여주시(흥천대교),1,T2_frequency
1005660,충주시(세포교),1,1002625,평창군(선애교),1,T2_frequency
1005660,충주시(세포교),2,1003658,제천시(부수동교),1,T2_frequency
1005660,충주시(세포교),3,1006628,횡성군(청곡교),1,T2_frequency
1005660,충주시(세포교),4,1007626,여주시(용은교),1,T2_frequency
1005660,충주시(세포교),5,1007642,이천시(동산교),1,T2_frequency
1005695,원주시(법천교),1,1003661,제천시(구곡교),4,T2_frequency
1005695,원주시(법천교),2,1002625,평창군(선애교),3,T2_frequency
1005695,원주시(법천교),3,1002650,평창군(평창교),3,T2_frequency
1005695,원주시(법천교),4,1002693,영월군(농공단지교),3,T2_frequency
1005695,원주시(법천교),5,1006665,원주시(원주교),3,T2_frequency
1005697,원주시(남한강대교),1,1001660,정선군(낙동교),4,T2_frequency
1005697,원주시(남한강대교),2,1001670,영월군(거운교),4,T2_frequency
1005697,원주시(남한강대교),3,1001645,정선군(와평교),3,T2_frequency
1005697,원주시(남한강대교),4,1001649,정선군(애산교),3,T2_frequency
1005697,원주시(남한강대교),5,1001690,영월군(영월대교),3,T2_frequency
1006628,횡성군(청곡교),1,1002605,평창군(이목정교),1,T2_frequency
1006628,횡성군(청곡교),2,1002625,평창군(선애교),1,T2_frequency
1006628,횡성군(청곡교),3,1002640,평창군(상방림교),1,T2_frequency
1006628,횡성군(청곡교),4,1007687,양평군(여물교),1,T2_frequency
1006628,횡성군(청곡교),5,1007690,양평군(봉상교),1,T2_frequency
1006630,횡성군(오산교),1,1002698,영월군(팔괴교),4,T2_frequency
1006630,횡성군(오산교),2,1002685,영월군(주천교),3,T2_frequency
1006630,횡성군(오산교),3,1002687,영월군(신천교),3,T2_frequency
1006630,횡성군(오산교),4,1006680,원주시(지정대교),3,T2_frequency
1006630,횡성군(오산교),5,1007640,여주시(율극교),3,T2_frequency
1006650,횡성군(횡성교),1,1001655,정선군(정선제1교),4,T2_frequency
1006650,횡성군(횡성교),2,1001645,정선군(와평교),3,T2_frequency
1006650,횡성군(횡성교),3,1001649,정선군(애산교),3,T2_frequency
1006650,횡성군(횡성교),4,1001660,정선군(낙동교),3,T2_frequency
1006650,횡성군(횡성교),5,1001690,영월군(영월대교),3,T2_frequency
1006660,횡성군(전천교),1,1002685,영월군(주천교),4,T2_frequency
1006660,횡성군(전천교),2,1006680,원주시(지정대교),4,T2_frequency
1006660,횡성군(전천교),3,1007620,여주시(강천리),3,T2_frequency
1006660,횡성군(전천교),4,1007635,여주시(여주대교),3,T2_frequency
1006660,횡성군(전천교),5,1007640,여주시(율극교),3,T2_frequency
1006665,원주시(원주교),1,1006666,원주시(가현교),4,T2_frequency
1006665,원주시(원주교),2,1002625,평창군(선애교),3,T2_frequency
1006665,원주시(원주교),3,1002693,영월군(농공단지교),3,T2_frequency
1006665,원주시(원주교),4,1005695,원주시(법천교),3,T2_frequency
1006665,원주시(원주교),5,1006660,횡성군(전천교),3,T2_frequency
1006666,원주시(가현교),1,1003657,제천시(강저3교),4,T2_frequency
1006666,원주시(가현교),2,1005695,원주시(법천교),4,T2_frequency
1006666,원주시(가현교),3,1006660,횡성군(전천교),3,T2_frequency
1006666,원주시(가현교),4,1006665,원주시(원주교),3,T2_frequency
